Participant,459
Block,Trial,Total,Pattern,"1,1","1,2","1,3","1,4","2,1","2,2","2,3","2,4","3,1","3,2","3,3","3,4","4,1","4,2","4,3","4,4"
0,0,0,5,white,white,black,black,white,black,white,black,black,white,black,white,black,black,white,white
0,1,1,7,black,black,white,black,black,white,black,white,white,black,black,white,black,white,white,white
0,2,2,4,white,white,black,black,white,white,black,black,white,white,black,black,white,white,black,black
0,3,3,0,black,black,black,black,white,white,white,white,white,white,white,white,black,black,black,black
0,4,4,3,black,black,white,white,black,white,white,black,white,black,black,white,black,white,white,black
0,5,5,2,white,white,white,white,black,black,black,black,white,white,white,white,black,black,black,black
0,6,6,1,black,white,black,black,black,white,black,white,black,white,black,white,black,white,white,white
0,7,7,6,white,white,black,white,white,black,white,black,black,white,white,black,white,black,black,black
1,0,8,63,black,black,white,black,black,white,white,black,white,white,white,black,white,black,white,black
1,1,9,56,white,black,white,white,black,white,black,black,white,white,black,black,black,white,black,white
1,2,10,20,black,black,black,black,black,black,white,black,white,white,white,white,white,white,black,white
1,3,11,50,white,black,white,white,white,black,black,white,black,white,black,black,white,black,black,white
1,4,12,14,black,black,black,white,white,white,white,black,black,black,black,white,white,white,white,black
1,5,13,13,white,black,white,white,black,black,black,white,white,black,white,white,black,white,black,black
1,6,14,42,white,white,white,black,white,black,black,black,black,black,black,white,black,white,white,white
1,7,15,44,black,black,black,black,black,white,white,black,black,white,white,black,white,white,white,white
1,8,16,25,black,white,black,white,white,white,black,white,black,white,white,black,black,white,black,black
1,9,17,26,black,black,white,white,black,white,black,black,black,white,white,white,white,white,black,black
1,10,18,47,white,white,white,black,black,black,black,white,white,white,white,black,black,black,black,white
1,11,19,8,black,white,black,white,black,white,black,white,black,white,black,white,black,white,black,white
1,12,20,51,black,white,white,black,white,black,white,black,white,black,black,white,black,white,white,black
1,13,21,32,white,black,black,white,black,white,white,black,black,white,white,black,white,black,black,white
1,14,22,40,black,black,white,white,white,white,black,black,black,black,white,white,white,white,black,black
1,15,23,3,black,black,white,white,black,black,white,white,white,white,black,black,white,white,black,black
1,16,24,30,white,white,black,white,white,white,black,black,black,black,black,white,black,white,black,white
1,17,25,37,white,black,white,white,black,black,black,white,white,black,black,black,white,white,black,white
1,18,26,23,black,white,black,white,white,black,white,black,black,white,black,white,white,black,white,black
1,19,27,45,black,black,white,black,black,white,white,white,black,black,white,black,white,white,white,black
1,20,28,35,black,black,white,black,white,white,white,black,black,white,white,white,black,white,black,black
1,21,29,61,white,white,black,white,white,black,black,white,white,black,black,white,black,white,black,black
1,22,30,19,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black,black
1,23,31,4,black,white,black,black,white,white,white,black,black,white,white,white,black,black,white,black
1,24,32,33,white,black,white,black,black,white,black,white,white,black,white,black,black,white,black,white
1,25,33,59,white,white,black,white,white,black,white,white,white,black,black,black,black,black,black,white
1,26,34,60,white,white,black,white,black,black,white,black,white,black,black,white,white,black,black,white
1,27,35,29,black,white,white,black,black,white,white,white,black,white,black,black,black,black,white,white
1,28,36,52,white,white,white,black,black,black,black,white,black,black,black,black,white,white,white,white
1,29,37,16,black,black,black,white,white,white,black,black,white,white,black,black,black,white,white,white
1,30,38,62,white,black,black,white,white,black,black,black,white,black,white,white,white,white,black,black
1,31,39,64,black,black,white,white,black,white,white,white,white,white,black,black,black,black,white,black
1,32,40,41,white,black,white,black,white,black,white,black,white,black,white,black,white,black,white,black
1,33,41,53,white,white,white,white,white,white,black,white,black,black,black,black,black,black,white,black
1,34,42,39,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black,black
1,35,43,7,white,white,black,black,black,black,white,white,white,white,black,black,black,black,white,white
1,36,44,0,black,white,black,white,white,black,white,black,black,white,black,white,white,black,white,black
1,37,45,27,black,black,white,black,white,white,black,black,black,white,white,white,black,white,white,black
1,38,46,18,white,black,black,white,black,white,black,black,black,white,white,white,white,black,black,white
1,39,47,54,white,white,white,black,white,white,black,white,black,black,black,white,white,black,black,black
1,40,48,65,black,white,white,black,white,black,black,white,white,black,black,white,black,white,white,black
1,41,49,34,white,black,black,white,white,black,black,white,white,black,black,white,white,black,black,white
1,42,50,48,black,white,black,white,white,black,white,black,black,white,black,white,white,black,white,black
1,43,51,46,black,white,black,black,white,black,white,black,black,white,black,black,white,white,white,white
1,44,52,58,white,black,white,black,black,black,white,black,white,black,black,white,white,black,white,white
1,45,53,55,white,white,black,black,white,white,black,white,black,black,white,black,black,black,white,white
1,46,54,5,white,white,black,black,white,white,black,black,white,white,black,black,white,white,black,black
1,47,55,12,white,white,black,white,white,black,black,black,white,white,black,white,black,black,black,white
